Speaker;activity;sentenceID;session;rep;name;frameTime;F0semitoneFrom27,5Hz_sma3nz_amean;F0semitoneFrom27,5Hz_sma3nz_stddevNorm;F0semitoneFrom27,5Hz_sma3nz_percentile20,0;F0semitoneFrom27,5Hz_sma3nz_percentile50,0;F0semitoneFrom27,5Hz_sma3nz_percentile80,0;F0semitoneFrom27,5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27,5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27,5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27,5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27,5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20,0;loudness_sma3_percentile50,0;loudness_sma3_percentile80,0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp;soundingPercentage;silencePercentage;silencesPerSecond;silencesMean;Type
U1;Dinamica1,2;S9;0;1;6-9-2015_10-44-31-488_Dinamica1,2_1;0,000000;2,765547e+001;5,482809e-002;2,592594e+001;2,754361e+001;2,921007e+001;3,284136e+000;7,311295e+001;4,296420e+001;9,111228e+000;1,076708e+001;2,597404e+000;6,487353e-001;8,543544e-001;2,769171e+000;3,949750e+000;3,095396e+000;5,742627e+001;2,483428e+001;2,536998e+001;1,921351e+001;2,606038e+000;6,558056e-001;3,075889e+001;5,026025e-001;3,229062e+000;4,302425e+000;1,195974e+001;9,403216e-001;-5,008504e+000;-3,715403e+000;3,496571e-002;8,019219e-001;1,465552e+000;1,137214e+000;5,878504e+000;4,468442e-001;-3,593744e+000;-1,708680e+000;1,825893e+001;3,111670e-001;4,555923e+002;4,632128e-001;1,245539e+003;1,075199e-001;-4,383469e+001;-1,671419e+000;1,372304e+003;2,048869e-001;9,564012e+002;3,242580e-001;-4,988139e+001;-1,387105e+000;2,501053e+003;1,038391e-001;6,759014e+002;3,341773e-001;-5,720768e+001;-1,133262e+000;-1,380962e+001;-4,736842e-001;2,412128e+001;3,025958e-001;-1,407518e-002;-3,030763e+000;-2,194913e-002;-6,328257e-001;3,124492e+000;5,450727e-001;3,451606e+001;3,207221e-001;-1,485006e+000;-7,500840e+000;1,311230e+001;8,940619e-001;-5,702072e+000;-3,101274e+000;-2,222930e+001;3,208200e+001;-1,105239e-001;-1,191525e-002;8,227737e-001;6,578948e+000;4,285714e+000;1,766667e-001;1,020893e-001;9,000000e-002;0;-1,287403e+001;1,0;0,0;0,0;0,0;A
U1;Dinamica1,2;S10;0;2;6-9-2015_10-44-56-167_Dinamica1,2_2;0,000000;2,712862e+001;7,242318e-002;2,531102e+001;2,710908e+001;2,836607e+001;3,055044e+000;8,894039e+001;6,207131e+001;2,708105e+001;2,596868e+001;2,535148e+000;6,716299e-001;8,010039e-001;2,640458e+000;4,095825e+000;3,294821e+000;7,709750e+001;3,389190e+001;2,671777e+001;2,724466e+001;2,466311e+000;7,960246e-001;3,208072e+001;4,363686e-001;2,498101e+000;6,408803e+000;1,701101e+001;6,889520e-001;-5,020696e+000;-3,773965e+000;5,068838e-002;1,315414e+000;1,999918e+000;8,761414e-001;5,091057e+000;6,956299e-001;-1,218715e+000;-4,130261e+000;1,676929e+001;5,147135e-001;4,989666e+002;4,467869e-001;1,302771e+003;1,602799e-001;-2,842190e+001;-1,965323e+000;1,454766e+003;1,972055e-001;9,736889e+002;3,268107e-001;-3,525790e+001;-1,480499e+000;2,575992e+003;1,031219e-001;6,987520e+002;3,713056e-001;-4,117472e+001;-1,214115e+000;-1,621000e+001;-5,669186e-001;2,564218e+001;4,292558e-001;-3,216408e-002;-1,456833e+000;-2,145199e-002;-6,677759e-001;2,659165e+000;7,820690e-001;3,431910e+001;3,146647e-001;-3,785822e-002;-4,241150e+002;1,842606e+001;6,441540e-001;-4,679622e+000;-4,021714e+000;-1,921303e+001;2,886262e+001;-1,176536e-001;-8,916195e-003;1,534398e+000;4,901961e+000;3,125000e+000;2,766666e-001;8,993825e-002;7,000000e-002;0;-1,385191e+001;0,64;0,36;0,62;0,58;A
U1;Dinamica2,2;S11;0;2;6-9-2015_10-45-10-990_Dinamica2,2_2;0,000000;2,614725e+001;1,072145e-001;2,460955e+001;2,663579e+001;2,806856e+001;3,459009e+000;7,265862e+001;4,636699e+001;2,670046e+001;3,249437e+001;2,622911e+000;6,089717e-001;1,171813e+000;2,379583e+000;3,938038e+000;2,766225e+000;5,186064e+001;2,056914e+001;2,965293e+001;1,943531e+001;2,581400e+000;7,471698e-001;3,094651e+001;5,697447e-001;1,197727e+000;1,257523e+001;6,534354e+000;1,778629e+000;-1,939227e+000;-5,754704e+000;7,348353e-002;1,296148e+000;1,606633e+000;8,144854e-001;4,518407e+000;8,315192e-001;5,131627e+000;6,057631e+000;1,903622e+001;3,082045e-001;4,732837e+002;3,437493e-001;1,292001e+003;2,217757e-001;-3,619617e+001;-1,675185e+000;1,428666e+003;1,533971e-001;9,314330e+002;2,548687e-001;-4,219841e+001;-1,388291e+000;2,556692e+003;9,568840e-002;8,101584e+002;4,800652e-001;-5,214895e+001;-1,032550e+000;-1,155654e+001;-4,329944e-001;2,427804e+001;2,992547e-001;-2,725459e-002;-1,246210e+000;-2,175618e-002;-4,809664e-001;2,957057e+000;6,750534e-001;3,505335e+001;4,199980e-001;-3,643835e+000;-3,660094e+000;4,979456e+000;2,516834e+000;-3,749147e+000;-2,712419e+000;-1,313091e+001;2,276225e+001;-9,398006e-002;-6,451154e-003;1,963306e+000;5,128205e+000;5,555556e+000;1,425000e-001;5,717298e-002;2,666667e-002;4,714045e-003;-1,398063e+001;0,85;0,15;1,08;0,14;A
U1;Dinamica3,1;S12;0;1;6-9-2015_10-45-26-779_Dinamica3,1_1;0,000000;2,808124e+001;1,207897e-001;2,575309e+001;2,694076e+001;2,978419e+001;4,031109e+000;5,482204e+001;1,851148e+001;1,247993e+001;1,384755e+001;2,818616e+000;5,914452e-001;1,341260e+000;2,352080e+000;4,312944e+000;2,971684e+000;4,782463e+001;2,267428e+001;3,493705e+001;2,551160e+001;2,502626e+000;6,079056e-001;3,307433e+001;3,094450e-001;-1,773183e+000;-7,779032e+000;1,439737e+001;9,046634e-001;9,316352e-001;1,572663e+001;2,920074e-002;9,121062e-001;1,663025e+000;8,864287e-001;5,899364e+000;4,612548e-001;-4,096875e-001;-1,159432e+001;1,795015e+001;4,349709e-001;5,083041e+002;3,969205e-001;1,273159e+003;2,069649e-001;-1,853654e+001;-2,220754e+000;1,487005e+003;1,581476e-001;8,938242e+002;3,105715e-001;-2,788543e+001;-1,385401e+000;2,548794e+003;9,633674e-002;8,188915e+002;2,803465e-001;-3,373869e+001;-1,107327e+000;-1,244597e+001;-4,647104e-001;2,181771e+001;3,455166e-001;-2,201898e-002;-1,394999e+000;-2,234116e-002;-5,564555e-001;2,713578e+000;5,484977e-001;3,374168e+001;3,033479e-001;-3,095407e+000;-4,392458e+000;1,506669e+001;8,760757e-001;-2,647295e-001;-5,627383e+001;-2,542420e+001;3,968650e+001;-9,535618e-002;-1,610839e-002;7,865959e-001;5,405406e+000;2,816901e+000;3,225000e-001;2,031471e-001;2,500000e-002;5,000000e-003;-1,367760e+001;0,79;0,21;1,05;0,2;A
U1;Dinamica3,1;S13;0;2;6-9-2015_10-45-32-127_Dinamica3,1_2;0,000000;2,830490e+001;1,214485e-001;2,592960e+001;2,740874e+001;2,960657e+001;3,676968e+000;2,358957e+001;2,492520e+000;1,412507e+001;2,841512e+001;2,894889e+000;5,456468e-001;1,422371e+000;2,611745e+000;4,474238e+000;3,051868e+000;5,236738e+001;2,230974e+001;3,209246e+001;2,036586e+001;2,634182e+000;6,043078e-001;3,287640e+001;2,438057e-001;-1,483440e+000;-9,100015e+000;1,076719e+001;1,232156e+000;3,134825e+000;4,795485e+000;3,324670e-002;7,090389e-001;1,507269e+000;9,588916e-001;6,102041e+000;4,604076e-001;8,408737e-002;5,222018e+001;1,837458e+001;4,694376e-001;5,003348e+002;3,806348e-001;1,262452e+003;1,449798e-001;-1,457737e+001;-2,146893e+000;1,495441e+003;1,778095e-001;9,480211e+002;4,291037e-001;-2,265506e+001;-1,329915e+000;2,524435e+003;1,062256e-001;9,335746e+002;4,412377e-001;-3,086565e+001;-9,307422e-001;-1,200086e+001;-4,481519e-001;2,293983e+001;3,047595e-001;-2,394048e-002;-1,458494e+000;-2,069837e-002;-5,708311e-001;2,790722e+000;5,765836e-001;3,314098e+001;2,557235e-001;-2,740234e+000;-4,690692e+000;1,073963e+001;1,244211e+000;2,060316e+000;7,358982e+000;-2,729458e+001;3,953196e+001;-9,967691e-002;-1,616669e-002;1,172288e+000;6,122449e+000;2,836879e+000;3,275000e-001;1,728258e-001;0;0;-1,335008e+001;0,63;0,37;0,85;0,43;A
U1;Dinamica3,2;S14;0;1;6-9-2015_10-45-41-55_Dinamica3,2_1;0,000000;2,588445e+001;1,380573e-001;2,454554e+001;2,576430e+001;2,799073e+001;3,445190e+000;4,378304e+001;4,856227e+000;3,742120e+001;1,189678e+001;2,743762e+000;5,996670e-001;1,145509e+000;2,554312e+000;3,948478e+000;2,802969e+000;4,358014e+001;2,399865e+001;3,545331e+001;1,393851e+001;2,595178e+000;5,887069e-001;2,527784e+001;7,128086e-001;4,462866e+000;3,605981e+000;2,112426e+001;7,585279e-001;7,541306e-001;1,729616e+001;6,485371e-002;9,986659e-001;2,172738e+000;8,355039e-001;3,987303e+000;8,992329e-001;1,180021e-001;2,541660e+001;1,653622e+001;3,545399e-001;4,571430e+002;3,003257e-001;1,154093e+003;1,378104e-001;-2,849632e+001;-1,997442e+000;1,494160e+003;1,296925e-001;7,305742e+002;4,380554e-001;-4,041699e+001;-1,317581e+000;2,545091e+003;7,063304e-002;7,369668e+002;2,532817e-001;-4,212966e+001;-1,234687e+000;-1,267433e+001;-5,836087e-001;2,109272e+001;4,202220e-001;-2,384388e-002;-1,392027e+000;-2,529545e-002;-3,931062e-001;2,821779e+000;5,398126e-001;2,904973e+001;4,447983e-001;7,511554e-001;1,932232e+001;2,274218e+001;7,066534e-001;-3,044752e-001;-4,336913e+001;-7,694356e+000;1,377866e+001;-8,562353e-002;-1,371139e-002;1,534602e+000;5,806452e+000;2,684564e+000;3,200000e-001;1,937782e-001;5,500000e-002;5,000000e-003;-1,364085e+001;0,85;0,15;0,54;0,28;A
U1;Dinamica3,2;S15;0;2;6-9-2015_10-45-45-907_Dinamica3,2_2;0,000000;2,624748e+001;1,475199e-001;2,527339e+001;2,606297e+001;2,831072e+001;3,037331e+000;4,635752e+001;1,156070e+001;4,111411e+001;2,258813e+001;2,625938e+000;6,035810e-001;1,447943e+000;2,334590e+000;3,463159e+000;2,015216e+000;3,059919e+001;1,973489e+001;3,634495e+001;1,002801e+001;2,654074e+000;7,162682e-001;2,642932e+001;6,485522e-001;4,414996e+000;3,101546e+000;2,032445e+001;8,551509e-001;1,020129e+000;1,262492e+001;4,332597e-002;1,618003e+000;1,812142e+000;9,071617e-001;4,171307e+000;7,888480e-001;6,360293e-001;6,560407e+000;1,835904e+001;3,176971e-001;4,440868e+002;3,357980e-001;1,158026e+003;1,329698e-001;-4,010439e+001;-1,732944e+000;1,478182e+003;1,241681e-001;7,650393e+002;4,901572e-001;-5,081285e+001;-1,252385e+000;2,546245e+003;6,800447e-002;7,593546e+002;2,683092e-001;-5,305523e+001;-1,171444e+000;-1,248298e+001;-5,527761e-001;2,173894e+001;4,184482e-001;-2,105626e-002;-1,456216e+000;-2,503271e-002;-3,435042e-001;2,937725e+000;6,885426e-001;3,101699e+001;4,148271e-001;6,960785e-001;1,792029e+001;2,139618e+001;8,377799e-001;3,996267e-001;3,363918e+001;-1,055844e+001;1,770413e+001;-6,850788e-002;-1,850145e-002;1,649822e+000;4,666667e+000;3,472222e+000;2,300000e-001;1,645600e-001;3,800000e-002;1,326650e-002;-1,423566e+001;0,86;0,14;0,57;0,24;A
U1;Dinamica2,2;S16;0;1;6-9-2015_10-45-6-719_Dinamica2,2_1;0,000000;2,578674e+001;7,552234e-002;2,363243e+001;2,642327e+001;2,730103e+001;3,668606e+000;1,812619e+002;1,532681e+002;1,339208e+001;9,864195e+000;2,305741e+000;5,601697e-001;9,554634e-001;2,271953e+000;3,467598e+000;2,512135e+000;4,624825e+001;1,971771e+001;2,679233e+001;2,068657e+001;2,758222e+000;7,870439e-001;3,013822e+001;4,994758e-001;1,907238e+000;7,191178e+000;1,041164e+001;1,124026e+000;-4,315631e+000;-2,820841e+000;3,972151e-002;7,628992e-001;1,621602e+000;5,852056e-001;3,786960e+000;9,650614e-001;2,943905e+000;5,372689e+000;1,892905e+001;3,260138e-001;4,555544e+002;2,967589e-001;1,240730e+003;1,716700e-001;-4,253864e+001;-1,560233e+000;1,467237e+003;1,541798e-001;8,651865e+002;3,603888e-001;-4,732296e+001;-1,321467e+000;2,588666e+003;7,992435e-002;7,086906e+002;4,472142e-001;-5,623843e+001;-1,029659e+000;-1,174224e+001;-4,059963e-001;2,376620e+001;2,096845e-001;-3,353254e-002;-9,130027e-001;-2,233464e-002;-4,455628e-001;3,034959e+000;6,185672e-001;3,293372e+001;4,277140e-001;-1,766814e+000;-6,190472e+000;9,319435e+000;1,350267e+000;-6,146562e+000;-1,856091e+000;-1,874823e+001;2,838101e+001;-1,053330e-001;-2,250272e-003;2,539653e+000;6,172840e+000;5,333333e+000;1,450000e-001;7,762087e-002;4,500000e-002;2,500000e-002;-1,443465e+001;1,0;0,0;0,0;0,0;A
U1;Dinamica4,3;S17;0;1;6-9-2015_10-46-15-870_Dinamica4,3_1;0,000000;2,852652e+001;1,013375e-001;2,628989e+001;2,938139e+001;3,113895e+001;4,849060e+000;2,092020e+001;7,921488e+000;3,406707e+001;1,764497e+001;3,927675e+000;5,382146e-001;1,776653e+000;3,681649e+000;6,059698e+000;4,283045e+000;6,698287e+001;2,656319e+001;2,470611e+001;1,695268e+001;3,537913e+000;6,455024e-001;2,260874e+001;8,497549e-001;4,009374e+000;3,469797e+000;1,435822e+001;1,224850e+000;-3,224722e+000;-4,700264e+000;5,484015e-002;8,686384e-001;1,571773e+000;9,058181e-001;5,433781e+000;7,009951e-001;1,082625e+000;8,057393e+000;1,736094e+001;4,214567e-001;4,698282e+002;4,642998e-001;1,086680e+003;1,947354e-001;-3,386617e+001;-1,968648e+000;1,486084e+003;1,881999e-001;6,723220e+002;4,016687e-001;-4,127131e+001;-1,494204e+000;2,566155e+003;8,480004e-002;6,886541e+002;3,058915e-001;-4,511706e+001;-1,328905e+000;-1,113132e+001;-5,388017e-001;2,016837e+001;3,968689e-001;1,374927e-003;2,793980e+001;-2,905672e-002;-5,029101e-001;3,990579e+000;5,509070e-001;2,674906e+001;5,575000e-001;-5,336412e-001;-2,191265e+001;1,720548e+001;1,040996e+000;-3,391344e+000;-4,528984e+000;-6,362160e+000;1,337008e+001;-7,883556e-002;-9,715219e-003;1,997555e+000;4,672897e+000;2,970297e+000;2,766666e-001;3,091206e-002;4,000000e-002;1,632993e-002;-9,697495e+000;0,84;0,16;0,78;0,2;A
U1;Dinamica4,2;S18;0;1;6-9-2015_10-46-2-662_Dinamica4,2_1;0,000000;2,728011e+001;5,919183e-002;2,569023e+001;2,717536e+001;2,867868e+001;2,988447e+000;4,967474e+001;2,765473e+001;2,567176e+001;3,214779e+000;3,078886e+000;6,557184e-001;9,104775e-001;3,065487e+000;4,950925e+000;4,040448e+000;4,679746e+001;2,304511e+001;4,448672e+001;1,715007e+001;3,124017e+000;6,190438e-001;3,127666e+001;4,168354e-001;7,404243e-001;1,641099e+001;8,757826e+000;1,480187e+000;-5,140288e+000;-3,078052e+000;2,634909e-002;6,805736e-001;1,538403e+000;8,405510e-001;5,351974e+000;4,135319e-001;-2,239142e+000;-2,217878e+000;1,837864e+001;3,344593e-001;4,513119e+002;3,539694e-001;1,233625e+003;1,296876e-001;-3,418719e+001;-1,944585e+000;1,403461e+003;1,724157e-001;9,131583e+002;2,504185e-001;-4,004288e+001;-1,580685e+000;2,556359e+003;7,884932e-002;6,865342e+002;3,668772e-001;-4,851117e+001;-1,238423e+000;-1,358046e+001;-4,819421e-001;2,476904e+001;3,165752e-001;-1,800246e-002;-2,493517e+000;-2,523615e-002;-4,940474e-001;3,526433e+000;5,481181e-001;3,535911e+001;2,286102e-001;-8,476505e-001;-1,497816e+001;1,037395e+001;1,249964e+000;-6,786891e+000;-2,467519e+000;-1,025544e+001;2,117697e+001;-7,468238e-002;-1,911143e-002;1,714684e+000;7,086614e+000;1,639344e+000;5,150000e-001;4,650000e-001;7,500000e-002;5,500000e-002;-1,135474e+001;0,71;0,29;0,56;0,51;A
U1;Dinamica4,3;S19;0;2;6-9-2015_10-46-20-6_Dinamica4,3_2;0,000000;2,858817e+001;2,510179e-001;2,421319e+001;2,871980e+001;3,132638e+001;7,113184e+000;5,649121e+002;6,905268e+002;2,044444e+002;2,255001e+002;3,590255e+000;5,853301e-001;1,433041e+000;3,304866e+000;5,813684e+000;4,380643e+000;4,858290e+001;1,720541e+001;4,146558e+001;1,934394e+001;3,619741e+000;6,658897e-001;2,075194e+001;9,970102e-001;3,649141e+000;4,139024e+000;1,244129e+001;1,234062e+000;-3,905173e+000;-3,885413e+000;7,009306e-002;1,265983e+000;1,424180e+000;9,685670e-001;2,839278e+000;1,437882e+000;1,287056e-001;5,515751e+001;1,675338e+001;5,918114e-001;4,051318e+002;3,129269e-001;1,135343e+003;1,380510e-001;-4,318843e+001;-1,731114e+000;1,396022e+003;1,307037e-001;6,950742e+002;5,116423e-001;-4,961312e+001;-1,390887e+000;2,484801e+003;4,683061e-002;7,044704e+002;4,205567e-001;-5,279500e+001;-1,220251e+000;-1,020749e+001;-5,797960e-001;1,979828e+001;4,148095e-001;-4,271279e-003;-8,125057e+000;-2,946033e-002;-5,330238e-001;4,323608e+000;5,167140e-001;2,675507e+001;6,075444e-001;-1,427769e+000;-9,219747e+000;1,502376e+001;1,019771e+000;-6,279142e+000;-2,549308e+000;-7,648849e+000;1,525115e+001;-8,599909e-002;-9,464360e-003;1,559179e+000;4,761905e+000;3,361345e+000;2,350000e-001;1,092016e-001;4,250000e-002;1,920286e-002;-1,055692e+001;0,87;0,13;0,68;0,19;A
U1;Dinamica5,1;S20;0;1;6-9-2015_10-46-30-585_Dinamica5,1_1;0,000000;2,775120e+001;9,750988e-002;2,521412e+001;2,748573e+001;3,033886e+001;5,124737e+000;1,261844e+002;1,239200e+002;2,442049e+001;8,360132e+000;3,035227e+000;5,310339e-001;1,513596e+000;2,828347e+000;4,491267e+000;2,977671e+000;4,505049e+001;1,634550e+001;3,527295e+001;1,979346e+001;2,682726e+000;6,288906e-001;3,264726e+001;3,879648e-001;-1,021487e+000;-1,254756e+001;1,410213e+001;7,896499e-001;4,178187e-001;3,656503e+001;5,104473e-002;2,057990e+000;1,348696e+000;8,353440e-001;6,231438e+000;4,072933e-001;-1,592017e+000;-2,158509e+000;1,956770e+001;2,912161e-001;4,372085e+002;3,351832e-001;1,247195e+003;1,591434e-001;-1,326781e+001;-2,957945e+000;1,414309e+003;1,413542e-001;8,514041e+002;2,467570e-001;-2,289381e+001;-1,608340e+000;2,545008e+003;8,233456e-002;7,777642e+002;4,954061e-001;-3,164857e+001;-1,101011e+000;-1,245836e+001;-3,643435e-001;2,259685e+001;2,906703e-001;-1,313656e-002;-2,296156e+000;-2,112012e-002;-5,572597e-001;2,787377e+000;6,173810e-001;3,430691e+001;2,902469e-001;-2,290276e+000;-5,406908e+000;1,460655e+001;7,815202e-001;4,869457e-001;3,245394e+001;-3,965086e+000;1,117906e+001;-8,703423e-002;-1,633174e-002;2,039613e+000;6,735752e+000;1,604278e+000;5,833333e-001;7,930251e-002;3,500000e-002;1,500000e-002;-1,234945e+001;0,87;0,13;0,45;0,3;A
U1;Dinamica5,1;S21;0;2;6-9-2015_10-46-35-704_Dinamica5,1_2;0,000000;2,799604e+001;8,016487e-002;2,577651e+001;2,804220e+001;3,024576e+001;4,469252e+000;5,952797e+001;5,560828e+001;1,712609e+001;8,096300e+000;3,128215e+000;5,478867e-001;1,669199e+000;2,804416e+000;4,398530e+000;2,729331e+000;3,898056e+001;1,784524e+001;3,099756e+001;1,912982e+001;2,648372e+000;7,137555e-001;3,431228e+001;3,433508e-001;-1,375386e+000;-9,604229e+000;1,450636e+001;8,643288e-001;-3,553175e-001;-4,288538e+001;2,551516e-002;1,300337e+000;1,133155e+000;9,468402e-001;6,776096e+000;3,402674e-001;-2,957073e+000;-1,047718e+000;1,956494e+001;3,416919e-001;4,016918e+002;2,473973e-001;1,235877e+003;1,530565e-001;-1,252013e+001;-3,276193e+000;1,388245e+003;1,302584e-001;8,467208e+002;2,144540e-001;-2,303170e+001;-1,680095e+000;2,523522e+003;6,888795e-002;7,667301e+002;4,471243e-001;-3,220033e+001;-1,143227e+000;-1,331249e+001;-3,721775e-001;2,337516e+001;2,873108e-001;-9,418942e-003;-3,148396e+000;-2,432883e-002;-5,465079e-001;2,761149e+000;7,075453e-001;3,592400e+001;2,330890e-001;-2,875545e+000;-4,338666e+000;1,524019e+001;8,353806e-001;-5,062631e-001;-3,102219e+001;-6,814411e+000;1,541808e+001;-8,067784e-002;-1,784276e-002;2,052906e+000;6,030151e+000;1,554404e+000;6,000000e-001;5,887841e-002;4,000000e-002;2,000000e-002;-1,166644e+001;0,87;0,13;0,43;0,3;A
U1;Dinamica4,2;S22;0;2;6-9-2015_10-46-7-823_Dinamica4,2_2;0,000000;2,644318e+001;4,535699e-002;2,531527e+001;2,661381e+001;2,761385e+001;2,298582e+000;1,376704e+002;2,004131e+002;-3,099090e-001;1,829221e+001;3,000484e+000;5,975528e-001;1,268384e+000;2,469904e+000;4,755409e+000;3,487025e+000;4,168105e+001;2,427387e+001;3,794841e+001;1,441544e+001;2,946464e+000;6,466793e-001;3,284086e+001;4,485656e-001;9,366341e-001;1,416476e+001;1,000094e+001;1,242701e+000;-4,257667e+000;-3,532994e+000;3,358768e-002;8,092331e-001;1,454744e+000;7,920135e-001;4,932185e+000;5,745170e-001;-1,656993e+000;-2,096646e+000;2,027810e+001;3,457383e-001;4,845960e+002;3,919253e-001;1,196120e+003;1,482962e-001;-1,716075e+001;-2,604566e+000;1,467329e+003;1,926174e-001;9,233148e+002;3,215653e-001;-2,552169e+001;-1,651204e+000;2,559547e+003;8,213354e-002;7,630210e+002;3,856761e-001;-3,549112e+001;-1,114949e+000;-1,342374e+001;-4,363399e-001;2,505494e+001;2,990493e-001;-1,780754e-002;-1,854386e+000;-2,711513e-002;-5,209448e-001;3,134447e+000;6,558084e-001;3,531870e+001;3,274200e-001;-5,548844e-001;-2,387694e+001;1,038560e+001;1,227697e+000;-5,572939e+000;-2,733306e+000;-5,997816e+000;1,381621e+001;-8,823514e-002;-1,473119e-002;2,204275e+000;6,299213e+000;2,479339e+000;3,666667e-001;3,271425e-001;5,000000e-002;0;-1,208020e+001;0,75;0,25;0,58;0,43;A
U2;Dinamica1,2;S23;0;1;18-6-2015_10-14-30-600_Dinamica1,2_1;0,000000;3,097620e+001;2,841049e-001;2,905519e+001;3,026255e+001;3,050870e+001;1,453508e+000;3,756246e+002;2,077064e+002;3,748301e+002;2,969969e+002;9,886853e-001;4,476408e-001;5,251499e-001;1,073133e+000;1,359033e+000;8,338835e-001;1,040280e+001;5,944132e+000;7,088585e+000;6,867450e+000;3,818994e-001;6,687939e-001;2,453481e+001;6,393662e-001;-2,979622e+000;-2,350727e+000;7,442544e+000;1,046151e+000;-9,032510e+000;-7,989489e-001;3,916163e-002;2,346607e+000;1,390582e+000;8,470215e-001;5,447335e+000;1,097394e+000;6,714411e-001;3,326599e+001;1,543132e+001;6,183737e-001;4,512187e+002;5,013903e-001;1,332797e+003;2,353389e-001;-5,126391e+001;-1,433242e+000;1,355761e+003;2,637259e-001;1,008790e+003;2,156491e-001;-4,911373e+001;-1,398425e+000;2,399546e+003;1,272746e-001;8,140896e+002;1,206359e-001;-5,763807e+001;-1,077472e+000;-7,410024e+000;-1,080710e+000;1,879822e+001;5,576935e-001;6,240531e-002;3,788609e-001;-1,728981e-002;-7,176942e-001;4,095385e-001;6,978493e-001;2,780783e+001;5,158882e-001;-2,501096e+000;-2,770922e+000;4,991061e+000;1,490552e+000;-7,243588e+000;-8,937104e-001;-5,612059e-001;8,097626e+000;4,144617e-003;-2,086644e-003;2,976621e-001;6,097561e+000;5,479452e+000;1,350000e-001;1,762810e-001;3,333333e-002;4,714045e-003;-2,882388e+001;1,0;0,0;0,0;0,0;B
